grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, pancake16.txt, "15 7 1 8 10 9 11 4 0 5 2 3 14 12 6 13", na, na, na, na
X, dfid, pancake16.txt, "9 6 2 0 15 7 13 12 3 8 11 4 1 5 14 10", na, na, na, na
X, dfid, pancake16.txt, "1 12 13 9 7 6 15 14 0 2 3 4 5 11 10 8", na, na, na, na
X, dfid, pancake16.txt, "3 4 5 6 7 8 9 10 11 12 15 14 13 0 1 2", 4, 507979, 0.018892, 2.68886e+07
X, dfid, pancake16.txt, "4 3 12 11 10 0 9 2 5 1 8 7 6 13 14 15", na, na, na, na
X, dfid, pancake16.txt, "1 13 0 2 9 12 11 8 14 15 4 5 6 7 3 10", na, na, na, na
X, dfid, pancake16.txt, "14 3 0 10 1 9 8 7 2 5 4 15 12 13 6 11", na, na, na, na
X, dfid, pancake16.txt, "11 12 14 13 10 9 8 0 1 2 3 4 5 6 7 15", 4, 132816, 0.004929, 2.69458e+07
X, dfid, pancake16.txt, "14 15 13 10 9 8 11 12 7 6 5 4 3 2 1 0", 6, 12362330, 0.458456, 2.69651e+07
X, dfid, pancake16.txt, "13 12 11 10 9 8 7 6 5 4 3 2 1 0 14 15", 1, 197, 8e-06, 2.4625e+07
X, dfid, pancake16.txt, "4 8 6 2 3 0 13 14 7 9 11 1 12 5 15 10", na, na, na, na
X, dfid, pancake16.txt, "5 0 1 2 3 4 12 13 14 15 6 7 8 9 10 11", 4, 418795, 0.010557, 3.96699e+07
X, dfid, pancake16.txt, "1 0 8 9 10 7 11 2 3 12 13 14 4 5 6 15", 7, 751159481, 18.9884, 3.95589e+07
X, dfid, pancake16.txt, "4 5 3 2 1 0 6 7 8 9 10 11 12 13 14 15", 2, 288, 8e-06, 3.6e+07
X, dfid, pancake16.txt, "9 10 8 7 6 3 2 1 0 4 5 11 12 13 14 15", 4, 72196, 0.001812, 3.98433e+07
X, dfid, pancake16.txt, "5 4 3 2 1 0 6 7 8 9 12 11 10 13 14 15", 4, 242767, 0.00611, 3.97327e+07
X, dfid, pancake16.txt, "15 0 1 3 2 5 6 12 11 10 9 8 7 4 14 13", na, na, na, na
X, dfid, pancake16.txt, "6 7 12 11 10 9 8 5 4 3 2 1 0 13 14 15", 3, 18946, 0.000701, 2.70271e+07
X, dfid, pancake16.txt, "3 1 0 6 5 4 2 7 8 9 10 11 12 13 14 15", 5, 3032303, 0.080969, 3.74502e+07
X, dfid, pancake16.txt, "7 8 9 10 6 5 4 3 0 1 2 11 12 13 14 15", 3, 11004, 0.000278, 3.95827e+07
X, dfid, pancake16.txt, "15 3 4 5 6 7 8 2 1 0 10 11 12 13 14 9", 6, 57003363, 1.47049, 3.87648e+07
X, dfid, pancake16.txt, "2 3 4 11 14 10 7 0 5 1 13 12 8 9 6 15", na, na, na, na
X, dfid, pancake16.txt, "9 8 7 6 5 10 3 2 1 0 11 14 13 12 4 15", 6, 40038567, 1.48337, 2.69916e+07
X, dfid, pancake16.txt, "10 9 4 14 15 3 0 7 12 6 1 8 11 13 5 2", na, na, na, na
X, dfid, pancake16.txt, "2 1 0 14 3 4 5 6 7 8 9 10 11 12 13 15", 3, 12013, 0.000445, 2.69955e+07
X, dfid, pancake16.txt, "4 3 1 2 0 12 5 6 7 8 11 13 14 10 9 15", na, na, na, na
X, dfid, pancake16.txt, "3 7 6 5 14 0 1 2 4 8 9 10 13 12 11 15", 7, 854335743, 31.5598, 2.70704e+07
X, dfid, pancake16.txt, "6 7 5 4 3 2 1 0 8 9 10 11 12 13 14 15", 2, 318, 1.3e-05, 2.44615e+07
X, dfid, pancake16.txt, "0 5 1 8 3 4 15 2 6 12 14 10 11 9 7 13", na, na, na, na
X, dfid, pancake16.txt, "10 9 6 0 1 5 7 8 4 3 2 11 12 13 14 15", 6, 84557064, 3.13189, 2.69987e+07
X, dfid, pancake16.txt, "15 14 13 12 11 10 9 8 7 6 5 4 3 0 1 2", 2, 3211, 0.000119, 2.69832e+07
X, dfid, pancake16.txt, "1 2 3 4 5 6 7 8 9 10 11 12 13 0 14 15", 2, 2728, 0.000107, 2.54953e+07
X, dfid, pancake16.txt, "7 11 12 13 14 10 9 8 6 5 4 3 2 1 0 15", 4, 310924, 0.011545, 2.69315e+07
X, dfid, pancake16.txt, "3 12 0 8 7 9 11 10 13 6 5 15 14 2 1 4", na, na, na, na
X, dfid, pancake16.txt, "1 0 8 7 6 5 4 3 2 9 10 11 12 13 14 15", 4, 66559, 0.001671, 3.98318e+07
X, dfid, pancake16.txt, "10 0 1 9 14 3 2 12 8 7 13 15 6 5 4 11", na, na, na, na
X, dfid, pancake16.txt, "3 4 5 6 7 1 12 11 8 9 2 0 10 13 14 15", na, na, na, na
X, dfid, pancake16.txt, "12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15", 2, 633, 1.7e-05, 3.72353e+07
X, dfid, pancake16.txt, "0 1 2 3 9 8 10 11 12 13 14 15 4 5 6 7", 6, 31265351, 0.917523, 3.40758e+07
X, dfid, pancake16.txt, "12 7 9 13 14 10 11 15 3 0 4 6 5 2 1 8", na, na, na, na
X, dfid, pancake16.txt, "7 10 0 3 8 9 13 12 1 2 6 11 14 15 5 4", na, na, na, na
X, dfid, pancake16.txt, "9 10 11 12 2 1 8 0 4 5 6 3 7 13 14 15", 8, 6162523953, 202.361, 3.04531e+07
X, dfid, pancake16.txt, "14 13 3 0 7 9 2 6 10 8 4 15 1 12 11 5", na, na, na, na
X, dfid, pancake16.txt, "7 2 1 13 15 14 8 5 0 3 10 6 11 12 4 9", na, na, na, na
X, dfid, pancake16.txt, "3 8 9 6 11 4 14 0 1 7 15 2 10 5 12 13", na, na, na, na
X, dfid, pancake16.txt, "7 6 5 4 3 2 8 9 10 11 12 13 1 0 14 15", 3, 17273, 0.000442, 3.90792e+07
X, dfid, pancake16.txt, "11 10 1 2 3 12 15 13 4 5 6 7 8 9 0 14", na, na, na, na
X, dfid, pancake16.txt, "3 2 1 0 6 7 8 9 10 11 12 13 4 5 14 15", 3, 35314, 0.000912, 3.87215e+07
X, dfid, pancake16.txt, "13 4 15 6 7 12 10 3 5 1 9 2 11 14 0 8", na, na, na, na
X, dfid, pancake16.txt, "14 7 0 5 13 4 10 15 12 6 2 8 3 9 11 1", na, na, na, na
X, dfid, pancake16.txt, "0 1 2 6 5 4 3 7 8 9 10 11 12 13 14 15", 3, 18645, 0.000495, 3.76667e+07
X, dfid, pancake16.txt, "12 3 2 1 0 6 7 8 9 4 11 10 5 13 14 15", 6, 99347919, 2.51881, 3.94424e+07
X, dfid, pancake16.txt, "14 12 10 15 13 5 4 3 6 11 8 7 0 1 2 9", na, na, na, na
X, dfid, pancake16.txt, "6 7 8 9 10 12 13 3 2 11 14 15 5 4 1 0", 8, 7355444899, 186.603, 3.94177e+07
X, dfid, pancake16.txt, "13 12 6 10 7 9 4 1 2 15 8 11 0 5 3 14", na, na, na, na
X, dfid, pancake16.txt, "3 2 1 0 4 5 11 10 9 8 7 6 12 13 14 15", 4, 157745, 0.003963, 3.98044e+07
X, dfid, pancake16.txt, "7 6 5 4 3 1 0 2 8 9 10 11 12 13 14 15", 3, 21329, 0.000536, 3.97929e+07
X, dfid, pancake16.txt, "10 9 8 7 6 5 4 3 11 2 0 1 12 13 14 15", 4, 315175, 0.007933, 3.97296e+07
X, dfid, pancake16.txt, "12 3 10 9 14 2 5 8 11 1 7 6 13 0 4 15", na, na, na, na
X, dfid, pancake16.txt, "4 1 2 3 9 8 7 13 0 12 10 11 14 15 5 6", na, na, na, na
X, dfid, pancake16.txt, "5 7 8 0 9 15 14 13 12 11 10 6 1 2 3 4", 8, 3599314008, 111.091, 3.23998e+07
X, dfid, pancake16.txt, "3 4 13 12 11 10 9 8 7 6 5 0 1 2 14 15", 4, 442595, 0.016373, 2.7032e+07
X, dfid, pancake16.txt, "12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15", 2, 633, 2.5e-05, 2.532e+07
X, dfid, pancake16.txt, "6 3 2 1 0 7 8 9 10 11 12 13 14 15 5 4", 4, 582283, 0.021527, 2.7049e+07
X, dfid, pancake16.txt, "15 14 13 9 10 8 7 6 5 4 3 2 1 0 11 12", 4, 658911, 0.024408, 2.69957e+07
X, dfid, pancake16.txt, "12 9 10 5 6 4 1 0 2 11 13 7 8 3 14 15", na, na, na, na
X, dfid, pancake16.txt, "11 10 9 8 7 6 5 12 13 15 14 4 3 2 1 0", 4, 278037, 0.006982, 3.9822e+07
X, dfid, pancake16.txt, "5 4 2 13 11 14 15 10 9 3 6 8 1 12 0 7", na, na, na, na
X, dfid, pancake16.txt, "4 3 2 1 0 5 13 12 11 10 9 8 7 6 14 15", 4, 205448, 0.007605, 2.70149e+07
X, dfid, pancake16.txt, "6 5 4 3 0 1 2 7 8 9 10 11 12 13 14 15", 2, 1312, 5e-05, 2.624e+07
X, dfid, pancake16.txt, "2 3 6 4 14 12 13 10 5 15 1 7 0 8 9 11", na, na, na, na
X, dfid, pancake16.txt, "4 5 6 3 2 1 0 14 9 10 11 12 13 8 7 15", 6, 20805133, 0.530412, 3.92245e+07
X, dfid, pancake16.txt, "6 7 8 9 10 11 12 13 14 5 4 3 0 1 2 15", 3, 26618, 0.000667, 3.9907e+07
X, dfid, pancake16.txt, "4 3 11 1 7 6 5 0 12 13 2 14 10 9 8 15", na, na, na, na
X, dfid, pancake16.txt, "7 15 14 1 0 8 9 10 11 5 6 12 2 4 3 13", na, na, na, na
X, dfid, pancake16.txt, "0 3 12 13 14 11 10 9 8 7 6 5 4 2 1 15", 6, 40896975, 1.51317, 2.70274e+07
X, dfid, pancake16.txt, "7 6 5 4 13 14 15 3 9 10 11 8 12 0 2 1", na, na, na, na
X, dfid, pancake16.txt, "5 6 4 3 2 1 0 7 8 9 10 11 12 13 14 15", 2, 303, 1.2e-05, 2.525e+07
X, dfid, pancake16.txt, "7 8 9 6 5 4 3 2 1 0 10 11 12 13 14 15", 2, 558, 2.2e-05, 2.53636e+07
X, dfid, pancake16.txt, "6 5 4 0 1 2 3 7 8 9 10 11 12 13 14 15", 2, 1327, 5.1e-05, 2.60196e+07
X, dfid, pancake16.txt, "1 2 3 4 5 6 0 7 8 9 10 11 12 13 14 15", 2, 1146, 4.3e-05, 2.66512e+07
X, dfid, pancake16.txt, "13 12 11 10 9 8 0 1 7 6 5 4 3 2 14 15", 3, 39760, 0.001481, 2.68467e+07
X, dfid, pancake16.txt, "15 14 6 7 8 9 10 11 3 0 2 1 12 13 4 5", na, na, na, na
X, dfid, pancake16.txt, "4 7 14 0 10 15 8 11 9 6 3 1 13 2 5 12", na, na, na, na
X, dfid, pancake16.txt, "14 9 10 2 15 13 6 8 1 5 4 7 11 12 3 0", na, na, na, na
X, dfid, pancake16.txt, "0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15", 0, 1, 1e-06, 1e+06
X, dfid, pancake16.txt, "13 14 0 8 5 6 2 11 12 7 3 1 9 10 15 4", na, na, na, na
X, dfid, pancake16.txt, "10 9 8 0 1 2 3 4 5 6 7 11 12 13 14 15", 2, 2231, 8.3e-05, 2.68795e+07
X, dfid, pancake16.txt, "14 13 6 11 12 1 5 7 8 2 3 4 0 9 10 15", na, na, na, na
X, dfid, pancake16.txt, "0 1 2 3 4 5 12 13 11 10 9 8 7 6 14 15", 4, 561500, 0.02101, 2.67254e+07
X, dfid, pancake16.txt, "1 0 11 12 10 9 2 3 4 5 13 14 15 8 7 6", 7, 672222134, 24.8346, 2.7068e+07
X, dfid, pancake16.txt, "4 5 11 12 13 14 3 2 6 7 8 9 10 0 1 15", 6, 48854288, 1.80777, 2.70246e+07
X, dfid, pancake16.txt, "15 7 12 0 1 5 8 4 11 10 6 3 2 13 9 14", na, na, na, na
X, dfid, pancake16.txt, "1 7 11 4 3 10 8 5 12 2 13 9 15 6 0 14", na, na, na, na
X, dfid, pancake16.txt, "5 3 13 4 14 8 15 0 1 6 7 12 11 2 9 10", na, na, na, na
X, dfid, pancake16.txt, "13 12 8 1 3 9 15 14 11 5 2 6 7 0 4 10", na, na, na, na
X, dfid, pancake16.txt, "8 2 1 6 9 10 4 3 11 12 0 15 14 13 5 7", na, na, na, na
X, dfid, pancake16.txt, "12 14 4 10 1 9 2 5 8 6 0 3 15 7 11 13", na, na, na, na
X, dfid, pancake16.txt, "13 9 10 11 7 3 2 12 8 6 5 4 0 1 14 15", na, na, na, na
X, dfid, pancake16.txt, "3 6 12 1 7 13 11 5 0 14 15 10 9 8 2 4", na, na, na, na
X, dfid, pancake16.txt, "15 14 13 12 11 10 9 8 0 1 2 3 4 5 7 6", 3, 44825, 0.001125, 3.98444e+07
X, dfid, pancake16.txt, "5 6 7 8 4 3 2 1 0 9 10 11 12 13 14 15", 2, 754, 2e-05, 3.77e+07
X, dfid, pancake16.txt, "1 2 3 13 14 12 4 0 5 6 7 8 9 10 11 15", 6, 50986447, 1.30001, 3.92199e+07
X, dfid, pancake16.txt, "0 1 2 3 4 5 8 9 10 11 12 13 7 6 14 15", 4, 562343, 0.014425, 3.89839e+07
X, dfid, pancake16.txt, "0 4 11 10 9 5 6 13 15 3 2 12 8 1 14 7", na, na, na, na
X, dfid, pancake16.txt, "0 1 8 5 6 7 12 11 10 4 2 3 9 13 14 15", na, na, na, na
X, dfid, pancake16.txt, "10 11 9 8 7 6 0 5 1 2 3 4 12 13 14 15", 5, 1045906, 0.026251, 3.98425e+07
X, dfid, pancake16.txt, "8 10 6 12 3 14 15 9 4 13 7 0 11 2 1 5", na, na, na, na
X, dfid, pancake16.txt, "5 9 14 8 2 6 4 3 7 13 12 10 11 15 1 0", na, na, na, na
X, dfid, pancake16.txt, "13 14 12 0 1 4 7 8 11 10 9 3 2 6 5 15", 8, 3249454990, 81.5588, 3.98419e+07
X, dfid, pancake16.txt, "12 11 10 9 8 4 3 2 1 0 5 6 7 13 14 15", 3, 37198, 0.000934, 3.98266e+07
X, dfid, pancake16.txt, "7 6 5 4 3 8 9 10 11 12 2 1 0 13 14 15", 3, 13882, 0.000495, 2.80444e+07
X, dfid, pancake16.txt, "5 11 7 13 12 8 1 0 2 10 9 4 14 6 15 3", na, na, na, na
X, dfid, pancake16.txt, "7 12 8 3 15 2 6 10 9 0 14 13 1 11 5 4", na, na, na, na
X, dfid, pancake16.txt, "1 0 9 10 5 8 7 11 6 2 3 4 12 13 14 15", 7, 928980812, 23.4501, 3.96153e+07
X, dfid, pancake16.txt, "11 0 14 10 5 2 13 8 12 3 6 7 15 1 9 4", na, na, na, na
X, dfid, pancake16.txt, "1 2 0 13 6 11 14 15 8 9 5 3 4 10 12 7", na, na, na, na
X, dfid, pancake16.txt, "3 1 6 4 7 0 2 12 15 10 14 13 5 11 9 8", na, na, na, na
X, dfid, pancake16.txt, "13 12 2 15 11 1 9 5 3 4 14 10 0 7 6 8", na, na, na, na
X, dfid, pancake16.txt, "4 2 1 8 5 0 9 13 6 14 3 11 10 15 12 7", na, na, na, na
X, dfid, pancake16.txt, "9 7 6 5 10 11 12 13 14 4 15 8 1 0 3 2", na, na, na, na
X, dfid, pancake16.txt, "2 1 11 10 9 6 7 8 12 13 5 0 3 4 14 15", 7, 1330649749, 48.3817, 2.75031e+07
X, dfid, pancake16.txt, "9 4 5 6 15 7 8 3 11 12 0 10 2 1 13 14", na, na, na, na
X, dfid, pancake16.txt, "11 3 15 14 12 13 2 5 10 7 4 1 8 9 6 0", na, na, na, na
X, dfid, pancake16.txt, "15 13 12 11 10 9 8 14 0 1 2 3 4 5 6 7", 4, 649686, 0.02408, 2.69803e+07
X, dfid, pancake16.txt, "12 11 10 9 8 7 6 0 1 2 3 4 5 13 14 15", 2, 2623, 9.8e-05, 2.67653e+07
X, dfid, pancake16.txt, "11 8 5 4 7 0 2 1 14 10 12 15 6 13 3 9", na, na, na, na
X, dfid, pancake16.txt, "7 6 5 4 3 2 1 0 8 9 10 11 12 13 14 15", 1, 107, 5e-06, 2.14e+07
X, dfid, pancake16.txt, "6 2 7 8 9 10 11 5 4 0 1 3 12 13 14 15", 6, 14314407, 0.529716, 2.70228e+07
X, dfid, pancake16.txt, "11 10 9 8 0 1 2 3 7 6 5 4 12 13 14 15", 3, 33430, 0.001245, 2.68514e+07
X, dfid, pancake16.txt, "2 1 0 8 12 11 9 10 3 4 7 6 5 13 14 15", 6, 57963102, 2.14465, 2.70269e+07
X, dfid, pancake16.txt, "13 12 11 10 0 1 2 3 4 5 6 7 8 9 14 15", 2, 2894, 0.000107, 2.70467e+07
X, dfid, pancake16.txt, "12 13 11 10 9 8 7 6 5 4 3 2 1 0 14 15", 2, 408, 1.7e-05, 2.4e+07
X, dfid, pancake16.txt, "2 3 4 5 6 7 8 9 10 11 1 0 12 13 14 15", 2, 2065, 7.7e-05, 2.68182e+07
X, dfid, pancake16.txt, "5 6 11 12 0 1 10 9 8 7 13 14 15 4 3 2", 8, 5876298141, 217.213, 2.70532e+07
X, dfid, pancake16.txt, "8 15 3 1 14 11 13 6 9 4 2 12 0 7 10 5", na, na, na, na
X, dfid, pancake16.txt, "13 12 11 10 9 8 7 0 1 2 3 4 5 6 14 15", 2, 2849, 7.3e-05, 3.90274e+07
X, dfid, pancake16.txt, "12 11 10 9 8 7 6 5 4 3 2 1 0 14 15 13", 3, 44718, 0.001137, 3.93298e+07
X, dfid, pancake16.txt, "7 3 4 5 6 8 9 10 11 12 13 14 2 1 0 15", 4, 179510, 0.004513, 3.97762e+07
X, dfid, pancake16.txt, "7 8 9 10 11 12 6 5 4 3 2 1 0 13 14 15", 2, 1236, 3.2e-05, 3.8625e+07
X, dfid, pancake16.txt, "7 6 5 4 2 3 1 0 8 9 10 11 12 13 14 15", 4, 213588, 0.005386, 3.96561e+07
X, dfid, pancake16.txt, "8 12 14 13 0 2 7 6 4 9 11 3 15 5 1 10", na, na, na, na
X, dfid, pancake16.txt, "15 14 13 12 11 0 1 2 3 4 5 6 7 8 9 10", 2, 3331, 0.000124, 2.68629e+07
X, dfid, pancake16.txt, "6 7 8 9 10 11 12 5 0 4 3 2 1 13 14 15", 4, 284201, 0.010602, 2.68064e+07
X, dfid, pancake16.txt, "7 8 9 10 11 12 13 14 6 1 0 2 3 4 5 15", 4, 331844, 0.012401, 2.67595e+07
X, dfid, pancake16.txt, "12 5 4 3 2 11 10 9 8 7 6 1 0 13 14 15", 4, 196360, 0.007248, 2.70916e+07
X, dfid, pancake16.txt, "4 5 3 1 2 7 10 8 11 12 13 14 6 9 15 0", na, na, na, na
X, dfid, pancake16.txt, "0 5 6 3 4 1 2 7 8 9 10 11 12 13 14 15", 5, 2575644, 0.095352, 2.7012e+07
X, dfid, pancake16.txt, "8 7 6 2 1 0 3 4 5 14 9 13 12 11 10 15", 6, 81144022, 2.60453, 3.1155e+07
X, dfid, pancake16.txt, "11 12 13 14 15 10 9 8 0 1 5 4 6 7 3 2", 6, 41283487, 1.52648, 2.70449e+07
X, dfid, pancake16.txt, "1 2 3 4 5 6 7 8 9 0 10 11 12 13 14 15", 2, 1824, 7e-05, 2.60571e+07
X, dfid, pancake16.txt, "2 3 4 5 6 7 8 12 11 10 9 1 0 13 14 15", 3, 30551, 0.001134, 2.69409e+07
X, dfid, pancake16.txt, "6 5 4 3 2 7 8 9 10 11 12 13 1 0 14 15", 3, 14319, 0.000529, 2.70681e+07
X, dfid, pancake16.txt, "0 1 2 3 4 5 6 11 12 8 9 10 7 13 14 15", 6, 53682745, 1.98443, 2.7052e+07
X, dfid, pancake16.txt, "7 5 4 3 2 1 0 8 9 6 10 11 12 13 14 15", 4, 357649, 0.013219, 2.70557e+07
X, dfid, pancake16.txt, "7 8 6 5 4 3 2 1 0 10 11 9 12 13 14 15", 4, 73341, 0.00272, 2.69636e+07
X, dfid, pancake16.txt, "15 5 11 2 12 7 6 13 8 4 3 14 9 10 0 1", na, na, na, na
