grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, ida, gap, pancake28.txt, "21 24 5 25 16 13 15 1 26 7 2 0 22 19 9 10 17 20 23 4 14 12 8 27 11 6 3 18", 27, 27, 13974, 0.002415, 5.78634e+06
X, ida, gap, pancake28.txt, "14 5 1 22 26 19 12 21 27 11 4 25 0 10 7 9 18 24 13 6 8 2 23 16 15 20 3 17", 28, 27, 144852, 0.019629, 7.37949e+06
X, ida, gap, pancake28.txt, "5 11 2 18 17 6 19 27 20 15 22 4 23 1 14 26 0 7 10 21 16 3 24 12 8 25 13 9", 28, 27, 44494, 0.005567, 7.99246e+06
X, ida, gap, pancake28.txt, "24 16 13 19 25 14 23 4 8 5 7 20 22 10 2 27 3 17 18 21 15 0 26 6 1 9 11 12", 27, 26, 31337, 0.003914, 8.00639e+06
X, ida, gap, pancake28.txt, "16 3 11 8 7 23 21 5 26 15 24 12 20 22 10 6 14 17 13 1 18 2 19 25 0 9 27 4", 28, 27, 136550, 0.017071, 7.99895e+06
X, ida, gap, pancake28.txt, "21 6 1 22 0 12 9 23 18 27 15 10 4 26 16 7 20 3 13 14 17 5 24 2 11 8 19 25", 28, 27, 165324, 0.018328, 9.0203e+06
X, ida, gap, pancake28.txt, "21 22 11 15 10 12 9 25 17 16 24 2 7 3 19 1 26 4 18 27 5 20 14 8 13 23 0 6", 27, 26, 129877, 0.014856, 8.74239e+06
X, ida, gap, pancake28.txt, "1 18 22 14 13 2 23 8 25 0 21 17 24 5 12 11 15 27 3 10 20 16 19 9 4 26 6 7", 26, 25, 44044, 0.005136, 8.57555e+06
X, ida, gap, pancake28.txt, "3 1 23 18 10 0 12 15 4 21 20 9 27 13 24 14 26 19 8 7 5 25 22 6 16 17 11 2", 25, 25, 13692, 0.001064, 1.28684e+07
X, ida, gap, pancake28.txt, "27 12 13 9 10 19 4 20 25 14 16 2 21 15 7 18 3 5 17 1 8 0 26 11 22 6 23 24", 26, 25, 40705, 0.003652, 1.11459e+07
X, ida, gap, pancake28.txt, "2 15 25 27 13 12 21 22 9 17 23 7 20 4 5 3 11 0 8 10 26 14 24 16 6 1 19 18", 25, 24, 193742, 0.015662, 1.23702e+07
X, ida, gap, pancake28.txt, "15 0 21 22 12 3 6 23 4 5 10 26 11 19 18 17 14 16 24 25 27 9 20 8 7 1 13 2", 23, 22, 4745, 0.000947, 5.01056e+06
X, ida, gap, pancake28.txt, "16 10 22 25 2 4 20 1 12 14 11 26 5 24 17 3 15 18 0 19 21 23 8 6 7 9 27 13", 27, 27, 12704, 0.001638, 7.7558e+06
X, ida, gap, pancake28.txt, "20 21 0 9 15 1 11 25 16 18 17 10 19 27 3 22 24 26 14 13 2 6 8 12 5 23 4 7", 26, 25, 1091288, 0.091356, 1.19454e+07
X, ida, gap, pancake28.txt, "12 1 8 11 14 18 16 23 10 19 17 3 0 21 7 27 6 13 9 2 25 26 24 20 15 5 4 22", 26, 26, 13116, 0.000995, 1.31819e+07
X, ida, gap, pancake28.txt, "15 18 0 27 16 26 6 7 25 4 2 17 9 19 24 11 12 13 5 3 10 20 21 8 1 22 23 14", 24, 23, 68804, 0.005216, 1.3191e+07
X, ida, gap, pancake28.txt, "9 2 1 11 6 7 14 25 12 10 18 8 24 17 3 4 20 26 15 0 16 19 13 22 27 21 5 23", 25, 25, 8700, 0.000694, 1.2536e+07
X, ida, gap, pancake28.txt, "11 16 0 24 6 22 25 17 9 20 21 14 15 26 1 3 12 8 23 2 5 10 27 4 7 13 18 19", 26, 25, 241341, 0.018297, 1.31902e+07
X, ida, gap, pancake28.txt, "4 15 0 8 2 27 22 21 7 26 13 17 3 11 20 24 1 23 25 5 18 14 9 16 6 10 12 19", 28, 27, 70651, 0.005351, 1.32033e+07
X, ida, gap, pancake28.txt, "10 21 20 1 15 6 2 3 5 22 18 12 27 4 23 7 0 9 8 25 14 24 26 11 19 16 13 17", 26, 25, 153669, 0.011513, 1.33474e+07
X, ida, gap, pancake28.txt, "26 24 16 25 5 8 12 19 11 7 4 13 10 22 20 17 2 27 6 18 1 9 14 3 0 15 23 21", 29, 28, 151229, 0.011836, 1.2777e+07
X, ida, gap, pancake28.txt, "9 16 23 17 27 0 13 8 6 5 10 14 7 26 2 3 18 25 12 11 15 4 24 1 20 22 21 19", 25, 24, 78965, 0.005949, 1.32737e+07
X, ida, gap, pancake28.txt, "20 15 11 7 24 23 21 0 17 2 16 12 19 18 26 1 13 6 4 9 14 25 27 22 10 3 8 5", 27, 26, 218806, 0.0164, 1.33418e+07
X, ida, gap, pancake28.txt, "18 22 11 19 3 13 27 1 12 26 5 21 10 23 15 25 2 20 14 24 9 17 8 16 0 6 7 4", 28, 27, 85228, 0.006427, 1.32609e+07
X, ida, gap, pancake28.txt, "17 15 12 1 5 24 8 20 9 11 25 10 7 6 19 0 23 26 18 4 3 27 21 2 16 22 14 13", 26, 25, 36848, 0.002779, 1.32594e+07
X, ida, gap, pancake28.txt, "22 9 19 1 12 0 5 4 2 10 15 21 11 24 6 16 25 3 18 26 7 20 13 23 8 17 14 27", 27, 26, 39200, 0.002982, 1.31455e+07
X, ida, gap, pancake28.txt, "16 17 15 6 13 9 25 10 26 22 5 3 19 14 18 0 20 1 23 12 7 21 27 24 4 11 2 8", 27, 27, 6320, 0.000468, 1.35043e+07
X, ida, gap, pancake28.txt, "6 2 19 23 11 16 8 12 20 21 0 1 5 13 17 10 24 4 18 22 7 15 26 25 27 9 3 14", 27, 25, 2539602, 0.186965, 1.35833e+07
X, ida, gap, pancake28.txt, "1 18 9 22 19 12 16 11 26 20 13 14 5 25 24 17 6 2 10 0 4 21 7 8 15 23 27 3", 26, 25, 57615, 0.004225, 1.36367e+07
X, ida, gap, pancake28.txt, "14 2 27 3 1 10 8 15 19 16 26 12 24 7 21 4 0 6 22 13 23 5 11 9 18 17 20 25", 28, 27, 747899, 0.055651, 1.34391e+07
X, ida, gap, pancake28.txt, "5 27 18 10 4 22 19 13 9 2 0 26 8 1 17 7 25 11 21 20 15 16 12 6 23 24 3 14", 25, 25, 5416, 0.00039, 1.38872e+07
X, ida, gap, pancake28.txt, "2 4 10 26 6 18 1 17 11 14 19 22 0 15 23 21 16 13 27 24 8 25 7 3 12 20 5 9", 29, 28, 95935, 0.007295, 1.31508e+07
X, ida, gap, pancake28.txt, "7 25 2 26 11 24 1 0 4 8 10 19 18 5 27 17 13 21 15 6 14 9 12 3 16 23 22 20", 26, 25, 15307, 0.001079, 1.41863e+07
