El factorial es: 479001600 
Depth		Nodes			Emp.Branching.Factor
0		1			2.000000
1		2			3.000000
2		6			2.833333
3		17			3.117647
4		53			2.962264
5		157			3.076433
6		483			3.002070
7		1450			3.052414
8		4426			3.018753
9		13361			3.041314
10		40635			3.026184
11		122969			3.036318
12		373373			3.029523
13		1131142			3.034075
14		3431970			3.031023
15		10402381			3.033068
16		31551133			3.031698
17		95653493			3.032616
18		290080335			3.032001
19		879523718			3.032413
20		2667079286			0.000000
El numero de estados se supera en el nivel: 19 
