El factorial es: 479001600 
Depth		Nodes			Emp.Branching.Factor
0		1			2.000000
1		2			2.000000
2		4			2.250000
3		9			2.222222
4		20			1.850000
5		37			1.729730
6		64			2.000000
7		128			1.992188
8		255			1.925490
9		491			1.908350
10		937			1.923159
11		1802			1.946171
12		3507			1.927573
13		6760			1.923077
14		13000			1.934077
15		25143			1.933699
16		48619			1.928402
17		93757			1.926960
18		180666			1.931182
19		348899			1.932766
20		674340			0.000000
No se ha superado el número de estados.

