grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, 11puzzle.txt, "4 3 2 6 1 8 B 5 7 9 10 11", na, na, na, na
X, dfid, 11puzzle.txt, "3 1 4 5 B 2 6 7 8 9 10 11", na, na, na, na
X, dfid, 11puzzle.txt, "3 1 2 6 7 11 8 4 10 9 B 5", na, na, na, na
X, dfid, 11puzzle.txt, "4 3 2 1 7 5 10 9 8 6 B 11", na, na, na, na
X, dfid, 11puzzle.txt, "3 1 4 6 5 2 B 7 8 9 10 11", na, na, na, na
X, dfid, 11puzzle.txt, "3 5 2 1 9 11 10 4 B 6 8 7", na, na, na, na
X, dfid, 11puzzle.txt, "1 2 B 3 6 4 7 8 5 9 10 11", 26, 341768437, 15.4379, 2.21383e+07
X, dfid, 11puzzle.txt, "3 5 1 4 7 2 6 10 8 9 B 11", na, na, na, na
X, dfid, 11puzzle.txt, "1 4 B 3 7 2 9 6 5 10 11 8", na, na, na, na
X, dfid, 11puzzle.txt, "1 2 B 3 4 5 9 11 8 7 6 10", 14, 87416, 0.002757, 3.17069e+07
X, dfid, 11puzzle.txt, "B 2 3 1 6 5 11 7 4 9 8 10", na, na, na, na
X, dfid, 11puzzle.txt, "3 1 B 6 5 2 10 4 8 7 9 11", 30, 3374678853, 144.557, 2.3345e+07
X, dfid, 11puzzle.txt, "3 1 2 6 8 4 9 7 5 10 B 11", 30, 4052270739, 166.387, 2.43545e+07
X, dfid, 11puzzle.txt, "B 3 2 6 1 4 9 7 5 10 11 8", 30, 3307568491, 125.206, 2.64169e+07
X, dfid, 11puzzle.txt, "1 4 2 3 7 5 10 8 11 6 B 9", na, na, na, na
X, dfid, 11puzzle.txt, "2 3 B 6 8 5 9 11 4 7 1 10", 30, 3380939390, 106.614, 3.17118e+07
X, dfid, 11puzzle.txt, "3 2 5 6 4 10 1 7 8 9 B 11", 28, 819599432, 25.7481, 3.18315e+07
X, dfid, 11puzzle.txt, "B 4 1 5 2 8 3 7 11 6 9 10", na, na, na, na
X, dfid, 11puzzle.txt, "B 3 2 4 1 5 6 7 8 9 10 11", 24, 40420523, 1.39958, 2.88805e+07
X, dfid, 11puzzle.txt, "B 7 2 1 3 8 4 5 6 9 10 11", na, na, na, na
X, dfid, 11puzzle.txt, "1 4 2 3 7 5 6 8 11 9 B 10", na, na, na, na
X, dfid, 11puzzle.txt, "2 4 3 1 7 5 B 6 8 9 10 11", na, na, na, na
