grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, topspin16-4.txt, "10 1 12 3 7 13 6 2 8 14 11 9 0 5 4 15", na, na, na, na
X, dfid, topspin16-4.txt, "0 4 3 2 1 5 6 7 11 10 9 8 12 13 14 15", 2, 474, 1.6e-05, 2.9625e+07
X, dfid, topspin16-4.txt, "11 3 5 2 12 0 8 9 7 6 14 4 1 10 13 15", na, na, na, na
X, dfid, topspin16-4.txt, "8 5 9 14 12 13 6 7 11 10 1 3 4 2 0 15", na, na, na, na
X, dfid, topspin16-4.txt, "0 13 6 7 5 10 11 1 9 12 8 3 4 14 2 15", na, na, na, na
X, dfid, topspin16-4.txt, "14 6 12 1 10 0 9 2 5 8 13 7 4 11 3 15", na, na, na, na
X, dfid, topspin16-4.txt, "9 8 6 1 2 4 5 10 14 13 12 11 7 3 0 15", 8, 135936535, 4.0369, 3.36735e+07
X, dfid, topspin16-4.txt, "14 6 7 10 9 2 8 4 5 3 1 13 12 11 0 15", 8, 406125542, 12.2201, 3.32342e+07
X, dfid, topspin16-4.txt, "0 10 5 6 11 7 8 9 12 1 2 14 13 4 3 15", 10, 9666581801, 284.721, 3.3951e+07
X, dfid, topspin16-4.txt, "0 7 5 11 6 14 4 2 10 13 1 9 3 8 12 15", na, na, na, na
X, dfid, topspin16-4.txt, "0 1 2 9 5 4 3 10 6 7 13 12 11 8 14 15", 4, 64895, 0.001923, 3.37467e+07
X, dfid, topspin16-4.txt, "3 7 6 1 2 0 9 8 5 12 11 10 4 13 14 15", 6, 2655869, 0.07798, 3.40583e+07
X, dfid, topspin16-4.txt, "3 1 6 5 2 0 9 8 7 4 10 14 13 12 11 15", 6, 2476880, 0.072728, 3.40568e+07
X, dfid, topspin16-4.txt, "8 3 7 4 5 6 9 10 11 1 14 13 12 0 2 15", 8, 520527399, 15.2989, 3.40238e+07
X, dfid, topspin16-4.txt, "13 14 7 2 3 4 6 5 11 10 0 1 12 8 9 15", na, na, na, na
X, dfid, topspin16-4.txt, "10 11 12 5 14 2 1 0 6 7 3 9 13 4 8 15", 8, 126396486, 3.71244, 3.40467e+07
X, dfid, topspin16-4.txt, "5 4 9 12 8 1 2 3 6 14 11 7 13 0 10 15", na, na, na, na
X, dfid, topspin16-4.txt, "13 8 2 10 14 4 6 0 9 1 12 11 5 7 3 15", na, na, na, na
X, dfid, topspin16-4.txt, "10 11 12 14 4 5 1 13 7 6 2 3 8 9 0 15", 6, 5107481, 0.152148, 3.35692e+07
X, dfid, topspin16-4.txt, "14 2 7 11 6 9 1 10 5 4 13 0 8 12 3 15", na, na, na, na
X, dfid, topspin16-4.txt, "1 3 7 6 8 5 4 2 9 0 12 14 13 11 10 15", 8, 309975996, 8.92466, 3.47325e+07
X, dfid, topspin16-4.txt, "3 2 1 0 12 5 6 7 11 10 4 8 9 13 14 15", 6, 1483940, 0.044089, 3.36578e+07
X, dfid, topspin16-4.txt, "0 12 13 14 4 3 2 1 8 7 6 5 9 10 11 15", 4, 21724, 0.000641, 3.38908e+07
X, dfid, topspin16-4.txt, "0 1 2 3 7 6 5 9 10 11 4 14 13 12 8 15", 4, 98348, 0.002873, 3.42318e+07
X, dfid, topspin16-4.txt, "11 1 14 8 3 0 2 5 6 9 13 4 7 12 10 15", na, na, na, na
X, dfid, topspin16-4.txt, "0 4 3 6 7 2 1 5 8 9 10 14 13 12 11 15", 4, 70448, 0.002102, 3.35147e+07
X, dfid, topspin16-4.txt, "3 5 4 12 10 8 9 11 13 1 14 0 7 2 6 15", na, na, na, na
X, dfid, topspin16-4.txt, "8 0 13 3 9 11 2 1 5 10 12 14 6 7 4 15", na, na, na, na
X, dfid, topspin16-4.txt, "1 2 12 7 6 8 4 14 13 11 0 9 5 10 3 15", na, na, na, na
X, dfid, topspin16-4.txt, "0 1 5 4 3 11 7 6 2 10 13 12 8 9 14 15", 4, 79822, 0.002379, 3.35528e+07
X, dfid, topspin16-4.txt, "14 2 3 4 7 11 10 5 6 9 8 12 13 1 0 15", 4, 72352, 0.002181, 3.31738e+07
X, dfid, topspin16-4.txt, "3 2 1 0 8 9 13 12 4 5 6 7 11 10 14 15", 6, 1622335, 0.048067, 3.37515e+07
X, dfid, topspin16-4.txt, "0 8 14 4 3 6 11 10 2 12 5 1 13 9 7 15", na, na, na, na
X, dfid, topspin16-4.txt, "8 5 12 11 9 10 13 0 1 3 7 6 2 4 14 15", 8, 239062790, 7.02214, 3.40442e+07
X, dfid, topspin16-4.txt, "14 13 4 5 1 2 8 9 3 6 7 0 12 11 10 15", 6, 6765117, 0.199531, 3.39051e+07
X, dfid, topspin16-4.txt, "5 6 8 7 3 2 9 10 11 12 13 14 4 1 0 15", 4, 53333, 0.001581, 3.37337e+07
X, dfid, topspin16-4.txt, "2 1 5 6 9 13 12 7 14 10 11 8 3 4 0 15", 6, 5095751, 0.153797, 3.3133e+07
X, dfid, topspin16-4.txt, "7 12 4 3 6 5 13 9 2 14 8 11 1 10 0 15", 8, 87605715, 2.60474, 3.36332e+07
X, dfid, topspin16-4.txt, "3 4 12 11 6 5 8 7 10 9 13 14 2 1 0 15", 4, 47022, 0.001408, 3.33963e+07
X, dfid, topspin16-4.txt, "14 13 5 1 0 3 2 9 8 7 6 10 11 12 4 15", 4, 103878, 0.003045, 3.41143e+07
X, dfid, topspin16-4.txt, "0 3 14 11 12 2 1 13 4 5 6 7 8 9 10 15", 4, 34953, 0.001914, 1.82618e+07
X, dfid, topspin16-4.txt, "0 4 5 1 2 3 6 13 9 8 7 12 11 10 14 15", 4, 44256, 0.001339, 3.30515e+07
X, dfid, topspin16-4.txt, "9 8 14 0 1 5 4 10 6 7 11 3 2 12 13 15", 8, 510334693, 15.068, 3.38688e+07
X, dfid, topspin16-4.txt, "3 4 9 13 6 5 8 7 12 11 10 14 2 1 0 15", 4, 47130, 0.001397, 3.37366e+07
X, dfid, topspin16-4.txt, "6 7 5 2 14 10 9 12 0 1 13 3 8 11 4 15", na, na, na, na
X, dfid, topspin16-4.txt, "0 4 3 2 1 5 9 8 7 6 10 11 12 13 14 15", 2, 449, 1.5e-05, 2.99333e+07
X, dfid, topspin16-4.txt, "7 5 13 12 2 8 11 1 6 9 10 14 0 3 4 15", na, na, na, na
X, dfid, topspin16-4.txt, "3 4 5 9 8 7 12 11 10 6 13 0 1 2 14 15", 4, 89888, 0.002659, 3.38052e+07
X, dfid, topspin16-4.txt, "0 1 2 3 4 8 7 6 5 12 11 10 9 13 14 15", 2, 1112, 3.5e-05, 3.17714e+07
X, dfid, topspin16-4.txt, "11 3 13 1 6 4 5 12 9 0 7 10 14 8 2 15", na, na, na, na
X, dfid, topspin16-4.txt, "1 0 4 5 9 11 10 8 13 2 6 7 3 14 12 15", na, na, na, na
